127.0.0.1 - - [07/Aug/2020:16:26:01 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:02 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 12179
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:02 +0900] "GET /orm/js/jquery/jquery-2.2.4.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:02 +0900] "GET /orm/js/plugins/plugins.js HTTP/1.1" 200 140397
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:02 +0900] "GET /orm/pages_css/footer.css HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:02 +0900] "GET /orm/style.css HTTP/1.1" 200 40256
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:02 +0900] "GET /orm/js/active.js HTTP/1.1" 200 3874
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/js/bootstrap/popper.min.js HTTP/1.1" 200 20340
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/css/bootstrap.min.css HTTP/1.1" 200 140424
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/css/animate.css HTTP/1.1" 200 57073
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/css/magnific-popup.css HTTP/1.1" 200 5605
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/css/font-awesome.min.css HTTP/1.1" 200 31006
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/css/custom-icon.css HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/css/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/css/nice-select.min.css HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/css/classy-nav.min.css HTTP/1.1" 200 18441
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:03 +0900] "GET /orm/img/background.jpg HTTP/1.1" 200 3043204
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:04 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:20 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:20 +0900] "GET /orm/img/poster/poster_AvengersEndgame.jpg HTTP/1.1" 200 187082
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:20 +0900] "GET /orm/img/poster/poster_TheGreatestShowman.jpg HTTP/1.1" 200 104863
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:20 +0900] "GET /orm/img/poster/poster_PrisonEscape.jpg HTTP/1.1" 200 5495681
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:26:20 +0900] "GET /orm/img/poster/poster_TrollsWorldTour.jpg HTTP/1.1" 200 1634034
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:33:06 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 12179
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:33:07 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:33:13 +0900] "GET /orm/js/bootstrap/popper.min.js.map HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:33:13 +0900] "GET /orm/css/nice-select.min.css.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:33:13 +0900] "GET /orm/style.css.map HTTP/1.1" 200 23743
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:09 +0900] "GET /orm/index2.jsp HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:09 +0900] "GET /orm/css/nice-select.min.css.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:09 +0900] "GET /orm/js/bootstrap/popper.min.js.map HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:09 +0900] "GET /orm/css/nice-select.min.css.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:09 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/jsp/signup.jsp HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/signup.do HTTP/1.1" 200 6433
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/vendor/animate/animate.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/vendor/animsition/css/animsition.min.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/vendor/select2/select2.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/css/util.css HTTP/1.1" 200 83821
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/css/main.css HTTP/1.1" 200 9434
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/fonts/raleway/Raleway-SemiBold.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/fonts/raleway/Raleway-Medium.ttf HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/fonts/raleway/Raleway-Bold.ttf HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/fonts/raleway/Raleway-Regular.ttf HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:35:13 +0900] "GET /orm/images/icons/favicon.ico HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [07/Aug/2020:16:37:14 +0900] "GET /orm/css/nice-select.min.css.map HTTP/1.1" 404 789
